"","player_name","player_id","alt_id","league_id","goal","distance","cosangle","head","throughball","cross","fast_break","big_chance","open_play","freekick","difficult"
"172685","Jonathan Bamba",2645,0,3,0,61.209,0.944,0,0,0,0,0,0,0,0
"108807","Raphael Guerreiro",1216,0,3,0,74.377,0.986,0,0,0,0,0,1,0,0
"21601","Nicolás Spolli",1712,0,2,0,52.692,0.714,1,0,1,0,0,0,0,0
"8864","Rubén Pérez",216,0,4,0,73.039,0.981,0,0,0,0,0,0,0,0
"66283","Bebé",2625,0,4,0,74.299,0.976,0,0,0,0,0,1,0,0
"60654","Gylfi Sigurdsson",683,0,1,0,58.303,0.905,0,0,1,0,0,1,0,0
"114556","Jack Rodwell",1576,0,1,0,53.561,0.773,0,0,0,0,0,1,0,0
"48655","Jonas Hector",2259,0,5,0,54.447,0.974,0,0,0,0,0,1,0,0
"140020","Odion Ighalo",392,0,1,0,76.317,0.979,0,0,0,0,0,1,0,0
"33857","Christian Bravo",2037,0,4,0,76.238,0.983,0,0,0,0,0,1,0,0
"7712","Adrien Hunou",127,0,3,0,50.014,0.796,1,0,1,0,0,1,0,0
"141556","Ludovic Blas",3162,0,3,0,60.817,0.922,0,0,0,0,0,0,0,0
"124031","Florian Jungwirth",3163,0,5,0,72.508,0.983,0,0,0,0,0,0,0,0
"67835","James Ward-Prowse",1249,0,1,0,70.842,0.972,0,0,0,0,0,1,0,0
"103453","Marco Reus",277,0,5,0,65.139,0.975,0,0,0,0,0,0,0,0
"75184","Simone Zaza",6,0,2,0,59.323,0.944,0,0,1,0,0,1,0,1
"157116","Jérémy Menez",1166,0,3,0,70.941,0.981,0,0,0,0,0,1,0,1
"70523","Scott Dann",1904,0,1,0,55.304,0.821,1,0,1,0,0,0,0,0
"24684","Yannick Bolasie",1011,0,1,0,52.075,0.812,1,0,1,0,0,1,0,0
"78413","Iago Falque",178,0,2,0,56.201,0.925,0,0,0,1,0,1,0,0
"78106","Antonio Di Natale",589,0,2,1,59.801,0.915,0,0,0,0,1,1,0,0
"2473","Falcao",185,0,3,0,58.273,0.891,0,0,1,0,0,0,0,0
"143704","Andy King",2135,0,1,0,55.142,0.855,1,0,1,0,0,1,0,0
"43276","Milos Jojic",1871,0,5,0,67.129,0.961,0,0,0,0,0,1,0,0
"93633","Juraj Kucka",616,0,2,0,69.672,0.976,0,0,0,0,0,1,0,0
"68332","Salomon Kalou",58,0,5,0,52.84,0.748,1,0,1,0,0,0,0,0
"124436","San José",410,0,4,1,56.531,0.897,0,0,1,0,0,1,0,0
"174148","Jean-Christophe Bahebeck",110,0,3,0,75.295,0.981,0,0,0,0,0,1,0,0
"11075","Aaron Ramsey",656,0,1,0,54.016,0.804,0,1,0,0,1,1,0,0
"90501","Francois Clerc",971,0,3,0,63.649,0.977,0,0,0,0,0,1,0,0
"125489","Thomas Partey",2212,0,4,0,75.841,0.978,0,0,0,0,0,1,0,0
"169034","Gianluca Caprari",1402,0,2,0,72.745,0.974,0,0,0,0,0,1,0,0
"43893","Giuseppe Vives",609,0,2,0,72.443,0.974,0,0,0,0,0,0,0,0
"7100","Manolo Gabbiadini",602,0,2,1,59.822,0.945,0,0,0,1,0,1,0,0
"5646","Issa Cissokho",1323,0,3,0,76.307,0.987,0,0,0,0,0,1,0,0
"111015","Giacomo Bonaventura",164,0,2,0,74.789,0.977,0,0,0,0,0,0,1,0
"175903","Ryan Shawcross",1248,0,1,0,53.795,0.792,1,0,1,0,0,0,0,0
"56506","Giovanni Pasquale",1525,0,2,0,78.337,0.987,0,0,0,0,0,1,0,0
"105780","Roberto Trashorras",177,0,4,0,60.029,0.992,0,0,0,0,0,0,1,0
"151958","Marcel Sabitzer",3480,0,5,0,56.177,0.888,0,1,0,0,0,1,0,1
"34461","Cesare Natali",939,0,2,0,55.638,0.836,0,0,1,0,0,0,0,1
"63884","Nolito",15,0,4,1,62.492,0.969,0,0,0,0,0,1,0,0
"63289","Curtis Davies",233,0,1,0,52.457,0.68,1,0,1,0,1,1,0,0
"110885","Nicola Rigoni",2793,0,2,0,72.943,0.973,0,0,0,0,0,1,0,0
"168126","Emre Colak",3448,0,4,0,79.02,0.982,0,0,0,0,0,1,0,0
"19347","David López",914,0,4,0,70.531,0.975,0,0,0,0,0,1,0,0
"37021","Moi Gómez",1713,0,4,0,60.311,0.965,0,0,0,0,0,1,0,0
"48180","Fernando Torres",840,0,2,0,58.948,0.921,0,0,0,0,0,1,0,0
"49954","Víctor Ibarbo",598,0,2,0,65.003,0.979,0,0,0,0,0,0,0,0
"117784","Alberto Paloschi",161,0,1,0,49.932,0.587,0,0,1,0,1,1,0,0
"96014","Lorenzo Insigne",585,0,2,0,56.661,0.949,0,0,0,0,0,0,0,0
"74128","Yaya Touré",332,0,1,0,74.974,0.977,0,0,0,0,0,1,0,0
"4898","David Zurutuza",1183,0,4,0,69.924,0.979,0,0,0,0,0,1,0,0
"54446","Felipe Anderson",926,0,2,0,56.886,0.978,0,0,0,0,0,1,0,0
"172068","James Ward-Prowse",1249,0,1,0,57.054,0.913,0,0,1,0,0,1,0,1
"109980","Paul Pogba",736,0,2,0,65.447,0.957,0,0,0,0,0,1,0,0
"118414","Shinji Kagawa",1533,0,5,1,50.414,0.566,0,0,0,0,1,1,0,0
